epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.008,2.10822,2.46942,1.17796,0.50785,0.48558,0.44744,0.23171,1.63677,1.90493,1.10936,0.000123113,0.000123113,0.000123113
2,456.816,1.88962,1.47485,1.07115,0.51634,0.49161,0.46589,0.24726,1.58914,1.94626,1.09602,0.00024238,0.00024238,0.00024238
3,665.405,1.87591,1.39309,1.06154,0.53297,0.5101,0.49102,0.27024,1.57876,1.8604,1.11637,0.000357577,0.000357577,0.000357577
4,872.511,1.84118,1.32207,1.05912,0.66571,0.46764,0.49219,0.2656,1.57943,1.91964,1.11151,0.000351685,0.000351685,0.000351685
5,1078.97,1.80139,1.24202,1.04994,0.68901,0.47171,0.52027,0.2893,1.51293,1.77835,1.10406,0.00034558,0.00034558,0.00034558
6,1286.19,1.78878,1.20899,1.04714,0.51756,0.54915,0.54239,0.28282,1.56221,1.77858,1.10605,0.000339475,0.000339475,0.000339475
7,1492.44,1.74536,1.16855,1.03953,0.6571,0.47517,0.50206,0.26921,1.5469,1.86517,1.10882,0.00033337,0.00033337,0.00033337
8,1698.79,1.72741,1.10001,1.02857,0.45269,0.52519,0.51879,0.27897,1.56455,1.86693,1.10105,0.000327265,0.000327265,0.000327265
9,1905.72,1.71658,1.08862,1.0308,0.71302,0.49253,0.54472,0.30289,1.53031,1.82662,1.10367,0.00032116,0.00032116,0.00032116
10,2111.7,1.6998,1.05466,1.02963,0.59279,0.49539,0.52077,0.29414,1.50746,1.83459,1.08266,0.000315055,0.000315055,0.000315055
11,2317.61,1.69367,1.03788,1.02449,0.48777,0.54691,0.54236,0.30704,1.49216,1.72987,1.08538,0.00030895,0.00030895,0.00030895
12,2522.96,1.68904,1.0288,1.02552,0.61794,0.55871,0.54989,0.3121,1.49677,1.70158,1.0913,0.000302845,0.000302845,0.000302845
13,2729.38,1.66198,0.99033,1.01505,0.69433,0.48141,0.51941,0.28837,1.52391,1.73568,1.09512,0.00029674,0.00029674,0.00029674
14,2935.4,1.66108,0.98721,1.01925,0.71162,0.50802,0.54561,0.30136,1.52345,1.66063,1.08724,0.000290635,0.000290635,0.000290635
15,3141.61,1.64302,0.97679,1.01043,0.72579,0.50652,0.55236,0.3139,1.48825,1.72087,1.08949,0.00028453,0.00028453,0.00028453
16,3347.83,1.64535,0.97899,1.01085,0.48691,0.55979,0.55099,0.30085,1.49437,1.72085,1.09412,0.000278425,0.000278425,0.000278425
17,3554.29,1.64083,0.96693,1.01093,0.72386,0.51448,0.53762,0.30324,1.52361,1.70294,1.09681,0.00027232,0.00027232,0.00027232
18,3760.78,1.62716,0.94204,1.01307,0.55715,0.5714,0.55656,0.32441,1.45461,1.65025,1.08849,0.000266215,0.000266215,0.000266215
19,3967.17,1.62029,0.93596,1.00141,0.72263,0.49918,0.54836,0.30951,1.47921,1.65274,1.09491,0.00026011,0.00026011,0.00026011
20,4173.54,1.6143,0.92169,1.00769,0.63308,0.51167,0.55852,0.31462,1.48278,1.63044,1.09609,0.000254005,0.000254005,0.000254005
21,4379.52,1.60311,0.9224,0.99968,0.72981,0.51786,0.54851,0.29919,1.50526,1.65583,1.09596,0.0002479,0.0002479,0.0002479
22,4584.8,1.59037,0.90522,1.00111,0.72617,0.50751,0.54947,0.3249,1.46421,1.65276,1.09345,0.000241795,0.000241795,0.000241795
